Company name,Assets,Debt,Shares,Price,capital,ROE,EPS,revenue
ТНС энерго Нижний Новгород,45006.0,4.52,3.92,1725.0,11.7,0.4,0.26,50.4
Русолово,45097.0,5.34,3000.0,7.37,2.18,-10.4,-0.22,6.0
Бурятзолото,45066.0,0.03,7.03,1097.0,8.43,14.2,384.2,6.37
Магаданэнерго,45064.0,4.72,463.8,4.68,3.33,-73.6,-5.52,11.9
Группа Позитив,45063.0,4.8,66.0,1258.0,112.4,73.4,92.3,12.4
МКФ Красный Октябрь,45154.0,0.0,9.22,504.5,17.4,5.4,61.8,18.2
Таттелеком,45184.0,0.0,20844.0,0.51,15.3,23.5,0.13,10.3
Соллерс,15.0,0.0,34.3,212.0,24.8,1.7,7.35,0.086
Курганская ГК,45183.0,1.6,122.5,33.4,6.38,4.4,2.47,7.56
ТГК-14,45029.0,1.72,1357946.0,0.003,12.8,12.8,0.0,14.4
ТНС энерго Кубань,45150.0,2.76,17.9,151.0,4.74,19.7,25.7,71.3
Ижсталь,45119.0,6.93,0.801,2544.0,4.89,-73.1,3197.0,28.0
НКХП,45058.0,0.36,67.6,288.5,26.3,17.5,29.0,4.96
Вуш Холдинг | WHOOSH,45027.0,5.61,111.4,163.5,23.9,17.0,7.45,6.96
Globaltruck,45148.0,2.31,58.5,50.7,4.53,1.9,1.71,15.4
АСКО,9.78,0.0,526.0,5.84,3.07,5.2,0.18,11.4
Нефтекамский автозавод (Нефаз),9.35,1.73,8.04,614.2,3.17,35.5,68.9,33.1
ТНС энерго Ростов-на-Дону,45025.0,1.55,8129.0,0.596,12.7,44.8,0.06,58.0
Нижнекамскшина,8.77,0.65,63.7,22.9,2.19,55.0,29.3,9.71
Пермэнергосбыт,8.3,0.0,36.2,111.5,8.6,39.7,30.4,45.6
Красноярскэнергосбыт,7.92,0.0,596.0,8.69,11.6,41.1,2.16,36.2
Русгрэйн,7.45,16.6,43.0,12.3,0.72,-1.8,5.14,11.2
ЦИАН,6.97,0.0,71.3,361.2,37.3,9.6,6.73,8.27
ТНС энерго Ярославль,6.76,1.6,17.1,178.0,6.49,5.3,2.33,20.5
Росинтер,6.72,4.74,16.3,58.2,1.22,-12.2,20.1,6.28
Калужская сбытовая компания,6.59,3.32,91.5,9.17,1.75,8.0,1.06,25.3
НПО Наука,6.34,0.75,11.8,192.0,4.11,0.4,0.93,2.33
