Company name,Assets,Debt,Shares,Price,capital,ROE,EPS,revenue,P/E,P/S,grahamCoef,PSCoef,PECoef,ROECoef,Graham Difference,Graham Coefficient,Main Coefficient
VK (Mail),360.9,124.5,226.1,436.0,121.7,-16.0,-120.3,128.8,-3.6242726517040733,0.9448757763975155,41.700338409475464,10.583628804452601,22.25965550658162,74.19149837593561,8.299661590524536,2.666133576001481,38.682080488899906
ВСМПО-АВИСМА,357.0,103.6,11.5,20860.0,566.3,3.3,572.4,89.1,36.443046820405314,6.355780022446689,94.66850828729281,71.19159809218289,48.51774880452934,75.55430024007909,24.66850828729281,8.231455410054174,-52.386502066687314
Лента,348.0,81.1,116.0,691.0,84.6,3.6,41.8,537.4,16.5311004784689,0.1574246371417938,30.032221805919818,1.7633258951105106,35.46846695391172,75.57548368874453,19.967778194080182,6.633231887751298,31.710458951970995
М.Видео,334.0,95.7,179.8,160.8,34.1,-105.4,-37.4,402.5,-4.2994652406417115,0.08472049689440994,12.132538816617709,0.948961031340894,21.81716845658696,67.87883067363367,37.86746118338229,12.719030014423973,32.393671171281845
Русснефть,311.8,72.8,294.1,81.3,35.7,8.3,28.6,274.8,2.8426573426573425,0.1299126637554585,10.004322175732218,1.4551620906481857,26.497754121125617,75.90735771783646,39.99567782426778,13.442612485353505,34.51182902070915
Ozon,284.8,94.1,203.7,1405.0,348.4,349.5,-285.6,277.1,-4.919467787114845,1.2573078311079031,150.07787100157313,14.083205125770034,21.41085016714937,100.0,80.07787100157313,27.07034747357454,37.43559723350606
КАМАЗ,271.3,108.5,707.2,105.0,123.1,7.3,5.72,269.2,18.356643356643357,0.45728083209509657,45.61179361179361,5.122039009972066,36.66483536203236,75.83674622228499,4.388206388206392,1.3362593677789827,32.71361248250157
Черкизово,258.8,123.4,42.2,2711.0,127.1,16.9,366.2,184.3,7.403058438012016,0.689636462289745,84.49350073855244,7.72467292443304,29.486410188353712,76.51461657957917,14.493500738552441,4.77200632841327,34.53152713837915
Россети Ленэнерго,255.1,29.5,8524.0,8.5,138.5,12.0,2.33,95.2,3.648068669527897,1.4548319327731092,32.11613475177305,16.29568831581215,27.025579941340826,76.16862025137692,17.883865248226947,5.924712440250343,26.9226395539736
ЧМК,252.9,185.5,3.16,4720.0,18.9,15.1,2052.0,176.3,2.3001949317738792,0.10720363017583663,22.129376854599407,1.200796397381166,26.142251712098165,76.38751588758649,27.870623145400593,9.320157629892922,39.72431014821423
Эталон,248.1,93.1,383.4,46.4,28.6,17.5,33.8,80.6,1.3727810650887575,0.3548387096774194,11.477264516129031,3.974576640111445,25.53447160207159,76.55698347691005,38.52273548387097,12.94181983214053,34.106115402586475
Мечел,237.5,283.5,416.3,123.2,108.1,-49.4,193.6,402.1,0.6363636363636364,0.2688385973638398,-111.49600000000001,3.0112825345747236,25.051860890787065,71.83307442451633,161.496,54.752083358615465,-10.982152359460926
ЭсЭфАй,229.9,147.1,111.6,505.8,55.5,10.6,54.3,23.3,9.314917127071825,2.3819742489270386,68.17304347826087,26.68068322010043,30.739345610319475,76.06976415760485,1.8269565217391346,0.46544787639095503,18.18428745079399
Сегежа Групп,228.1,123.8,15690.0,4.58,85.9,14.4,0.38,102.8,12.052631578947368,0.835603112840467,68.89760306807287,9.359656999427632,32.53350510108671,76.33808784070048,1.1023969319271316,0.21910142450261724,34.225824315683525
Распадская,219.0,0.0,665.7,227.2,188.7,35.3,88.4,194.2,2.5701357466063346,0.9716786817713697,69.06257534246575,10.88385028164962,26.31915725991572,77.8138680977263,0.9374246575342511,0.16301171838585723,40.447848837775105
ОГК-2,210.1,36.5,110441.0,0.634,85.3,3.1,0.04,141.6,15.85,0.6024011299435028,40.333867511520744,6.747543020959612,35.022108172127915,75.54017794096879,9.666132488479256,3.1307264984513217,30.639800249429943
ТГК-1,194.7,17.3,3854341.0,0.01,37.3,5.4,0.0,102.3,0.0,0.364613880742913,21.726837655016915,4.084069109536002,24.634820371101462,75.70258438073719,28.273162344983085,9.457018841803523,37.526676058296204
Инград,178.2,109.2,41.2,1180.0,58.6,14.1,25.5,70.6,46.27450980392157,0.8300283286118981,70.45797101449277,9.297213397407225,54.960792054682116,76.31690439203503,0.4579710144927702,0.0,12.058898939945692
ДВМП,166.3,30.6,2951.0,33.7,141.6,44.0,13.1,162.6,2.572519083969466,0.8708487084870848,73.28570375829034,9.754445722594877,26.320719178598235,78.42818810902415,3.285703758290339,0.9614142689129934,41.39160893891803
Протек,162.2,2.24,527.1,100.3,52.9,8.3,6.6,265.6,15.196969696969697,0.19917168674698793,33.05084396099026,2.230937921727395,34.59414516264102,75.90735771783646,16.949156039009743,5.606916222415787,33.47535841105227
НМТП,161.3,44.5,19260.0,8.1,141.5,6.0,0.25,45.6,32.4,3.1030701754385963,133.5667808219178,34.75773610815162,45.868140544808526,75.74495127806807,63.5667808219178,21.45666360304317,-26.337588977935244
Россети Центр и Приволжье,151.8,32.4,112698.0,0.248,24.1,15.1,0.1,114.0,2.48,0.21140350877192984,23.407959798994973,2.3679475341525205,26.26008685353336,76.38751588758649,26.592040201005027,8.885446149670134,38.87403535023047
Юнипро,146.4,0.0,63049.0,1.35,119.8,16.4,0.34,105.8,3.9705882352941178,1.1323251417769375,58.13944672131148,12.683264071185668,27.2369429414087,76.47931083180343,8.13944672131148,2.611661362638559,33.947442456570506
МГТС,144.9,0.0,79.8,1345.0,168.5,14.2,206.4,42.6,6.516472868217054,3.9553990610328635,74.07246376811594,44.30473981993626,28.90538687771035,76.32396554159018,4.072463768115938,1.228908536649424,1.884930307294152
Россети Центр,139.8,46.1,42218.0,0.319,15.2,9.4,0.12,114.6,2.6583333333333337,0.13263525305410123,14.373043756670222,1.485658030160648,26.37695749440716,75.98503036294309,35.62695624332978,11.95727011202114,36.165144726354136
Окей,113.1,45.5,269.1,24.3,8.22,5.3,2.66,202.2,9.135338345864662,0.040652818991097926,9.673269230769233,0.455355462383418,30.621658765943682,75.69552323118204,40.326730769230764,13.555168746460996,31.06334025639394
Fix Price,113.0,21.9,850.0,337.1,295.8,73.1,25.2,277.6,13.376984126984128,1.0655619596541785,314.52799121844134,11.93544435240173,33.40141873304132,80.48298262957209,244.52799121844134,82.98252391519395,-47.83640437106491
КИВИ (QIWI),111.9,3.92,62.7,411.0,37.6,24.6,223.2,34.1,1.8413978494623657,1.1026392961876832,23.865252824597146,12.350750551090108,25.841579324953628,77.05832509532551,26.134747175402854,8.729968924726348,30.13602629455542
Globaltrans,110.2,20.7,178.7,270.2,79.4,36.9,139.4,81.6,1.9383070301291248,0.9730392156862746,53.94943016759777,10.899089730359082,25.905088697202665,77.92684649060868,3.949430167597768,1.1870777591994115,39.935590303847526
Россети Урал,107.0,23.7,87431.0,0.196,22.1,8.4,0.05,103.0,3.92,0.2145631067961165,20.572000000000003,2.403338443195367,27.20378997236479,75.91441886739162,29.427999999999997,9.849657574104727,36.45763287772674
Славнефть-ЯНОС,104.4,30.6,932.7,20.6,27.2,7.3,4.7,30.7,4.382978723404255,0.8859934853420195,26.03471544715447,9.924083574006424,27.507202795440612,75.83674622228499,23.96528455284553,7.9923630368379115,30.413096816000046
PETROPAVLOVSK,99.1,39.6,3957.0,31.2,123.3,-6.9,-0.83,71.3,-37.59036144578313,1.729312762973352,207.49310924369752,19.370169949634036,0.0,74.83406298545403,137.49310924369752,46.59122667267646,8.87266636314353
ОВК,97.9,37.3,113.4,142.0,17.6,172.1,-223.9,79.6,-0.6342117016525234,0.221105527638191,26.572277227722772,2.4766206199689407,24.219190120511964,87.4735206891682,23.427722772277228,7.80959485713838,52.96811509154891
Белуга Групп,93.1,38.1,15.8,2768.0,65.6,33.6,534.3,97.3,5.180610144113794,0.6742034943473793,79.51709090909091,7.5518070217047875,28.029930058913898,77.69382855528879,9.51709090909091,3.0800531448963993,39.032038329773705
КуйбышевАзот,91.6,18.7,234.1,389.0,162.4,44.3,90.5,87.5,4.298342541436464,1.856,124.91755829903977,20.78920377867746,27.451736525378813,78.44937155768959,54.91755829903977,18.515973409905925,11.69245784372739
Энергия РКК,88.6,19.8,1.12,7360.0,16.4,117.3,-5428.0,41.6,-1.3559322033898304,0.39423076923076916,11.98139534883721,4.415810235648291,23.746211031335527,83.60401073294732,38.01860465116279,12.770417998983651,42.67157146697984
Россети Кубань,87.3,24.9,342.3,56.5,46.0,14.1,16.7,64.2,3.383233532934132,0.7165109034267912,30.993509615384617,8.025695679409402,26.852020396632714,76.31690439203503,19.006490384615383,6.3063990855429815,35.132789230449944
ТГК-2,83.9,12.3,1458405.0,0.004,7.81,3.7,0.0,47.4,0.0,0.16476793248945149,8.147513966480446,1.8455787309884577,24.634820371101462,75.58254483829968,41.852486033519554,14.073917516186093,35.028228220023664
Квадра,82.6,26.5,1912505.0,0.008,16.0,-10.6,0.0,60.3,0.0,0.26533996683250416,27.272798573975045,2.97209409542481,24.634820371101462,74.57280045191358,22.727201426024955,7.571421281703314,39.394464703683994
Россети Сибирь,82.1,42.1,94815.0,0.247,34.0,-1.1,0.0,64.8,0.0,0.5246913580246914,58.54826250000001,5.877109678279268,24.634820371101462,75.2436096596526,8.548262500000007,2.7506565784523715,41.981023031819504
Селигдар,74.3,58.5,1030.0,43.6,49.6,11.2,3.98,34.7,10.954773869346734,1.4293948126801153,284.22784810126586,16.010765108292787,31.814024722903905,76.11213105493574,214.22784810126586,72.68063452806743,-44.39329330432838
Южный Кузбасс,71.9,59.8,36.1,1222.0,53.5,-382.8,332.9,58.0,3.6707720036046863,0.9224137931034483,364.58016528925594,10.332030341104751,27.04045855743537,48.291201807654296,294.58016528925594,100.0,-89.08128709088582
Ютэйр,71.8,28.3,3702.0,7.33,30.3,-48.3,1.1,53.3,6.663636363636363,0.5684803001876173,62.3808275862069,6.367593106015146,29.00183038438072,71.91074706962294,7.619172413793102,2.4347708329043942,34.10655274632268
Россети Волга,67.6,10.2,181095.0,0.026,6.85,-1.2,0.0,66.8,0.0,0.10254491017964072,8.202909407665505,1.1486137037665558,24.634820371101462,75.23654851009745,41.7970905923345,14.05508335736933,35.3980310778601
Газкон,65.9,0.0,225.4,328.0,73.9,3.3,9.58,0.0,34.23799582463465,0.0,112.18694992412745,0.0,47.072669983771625,75.55430024007909,42.18694992412745,14.187633480883216,14.293996775424246
Эл5 Энерго (Энел),65.4,34.4,35372.0,0.549,19.9,-81.0,-0.57,50.5,-0.9631578947368422,0.394059405940594,62.64267096774192,4.4138907817907285,24.003615434163773,69.60175116508968,7.357329032258079,2.3457454595623153,38.83849948957286
ГМС Группа,64.8,22.7,23.4,303.5,3.01,12.4,52.9,57.2,5.737240075614367,0.05262237762237761,16.869121140142518,0.5894274416541622,28.39471714390835,76.19686484959752,33.13087885985748,11.108616922272219,36.10410334176278
ДЭК,64.8,14.9,17207.0,0.938,27.6,11.6,0.16,126.1,5.8625,0.2188739095955591,32.345022044088175,2.451624088587234,28.47680615870509,76.14037565315634,17.654977955911825,5.846891964009336,39.36505344185468
ЦМТ,56.5,0.381,1083.0,7.74,12.2,1.4,0.62,6.87,12.483870967741936,1.7758369723435223,14.936866301965466,19.891291323146064,32.816117570648096,75.4201383985313,35.063133698034534,11.765573410354168,10.947156094382965
Россети Северо-Запад,54.9,18.5,95786.0,0.026,3.48,-1.7,0.0,53.3,0.0,0.06529080675422139,6.841857142857142,0.731327525047284,24.634820371101462,75.20124276232171,43.158142857142856,14.517833973032456,35.317260893140514
Аптеки 36 и 6,54.4,40.2,2331.0,14.0,29.5,-112.3,2.75,39.3,5.090909090909091,0.7506361323155217,229.8169014084508,8.40793508531556,27.9711445285863,67.39161135432849,159.8169014084508,54.18119866367107,-23.168666923244437
Якутскэнерго,52.4,33.0,7964.0,0.264,3.49,-1066.7,1.0,25.3,0.264,0.13794466403162056,10.837608247422681,1.5451291652664652,24.80783260955389,0.0,39.16239175257732,13.159299601147284,-39.51226137596764
Россети Юг,51.8,23.3,151641.0,0.033,7.16,-70.8,0.0,44.1,0.0,0.16235827664399094,17.55843157894737,1.8185879840015178,24.634820371101462,70.32198841971473,32.44156842105263,10.874254996439136,32.99432506817261
Уральская кузница,39.9,2.06,0.548,16260.0,11.9,6.2,3797.0,15.1,4.282328153805636,0.7880794701986755,23.547780126849897,8.827340894263166,27.441241506244516,75.75907357717837,26.452219873150103,8.837907973165064,30.652583203505614
Камчатскэнерго,33.9,13.5,41852.0,0.18,10.8,13.5,0.03,15.0,6.0,0.7200000000000001,36.92823529411765,8.064777327935223,28.566916699565738,76.27453749470415,13.071764705882352,4.288623550661405,35.35421991654179
Мать и Дитя (MD),33.2,1.46,75.1,419.7,41.2,22.4,79.9,25.2,5.252816020025031,1.634920634920635,99.30519848771266,18.312876207613048,28.07725013550792,76.90297980511228,29.30519848771266,9.807905705433225,20.70494775655809
ЕМС,33.0,16.9,90.0,308.3,40.1,30.2,36.3,23.7,8.493112947658403,1.6919831223628694,172.3416149068323,18.952037672890437,30.200776744221457,77.4537494704138,102.34161490683229,34.63990337198485,-6.3389683186829515
Газпром РнД (Ростовоблгаз),32.9,3.2,0.12,23600.0,3.62,5.0,8815.0,9.96,2.6772546795235392,0.36345381526104414,9.535353535353535,4.071075123706702,26.389357587054512,75.6743397825166,40.464646464646464,13.602059357948434,31.611847713806945
ЧКПЗ,32.1,9.34,0.6,6660.0,8.07,6.6,249.9,22.6,26.650660264105642,0.3570796460176991,17.557117750439367,3.9996775464870473,42.100314267041206,75.78731817539895,32.44288224956063,10.874701691225718,18.81262467064498
Ашинский МЗ,31.2,4.25,498.5,17.9,37.9,57.2,23.4,40.1,0.7649572649572649,0.9451371571072319,33.110018552875694,10.586556550593825,25.136134646596552,79.36025985030363,16.889981447124306,5.586797172226002,38.050771480887256
OR Group (Обувь России),45198.0,12.8,113.1,16.6,0.51,-38.9,-37.3,8.22,-0.44504021447721187,0.06204379562043795,0.004155033063923586,0.6949574948038258,24.343163538873995,72.5744951278068,49.995844966936076,16.84261674797856,30.693757346150413
КТК,45106.0,10.7,99.3,152.4,15.1,-53.5,-48.2,39.5,-3.1618257261410787,0.3822784810126582,0.033558530489873666,4.2819317036505575,22.56271981626759,71.54356729275526,49.96644146951012,16.832619713413234,27.866296059423878
Сахалинэнерго,45197.0,5.64,1237.0,3.04,5.03,-55.0,-5.09,12.5,-0.5972495088408645,0.40240000000000004,0.008321236625762092,4.507314439946019,24.243413270953084,71.43765004942804,49.99167876337424,16.84120026066719,25.845722077861755
ТНС энерго,45132.0,0.642,13.7,600.0,12.7,-25.4,-402.4,3.23,-1.4910536779324057,3.9318885448916405,0.018213500245217527,44.04139665668099,23.657659255677935,73.52775031775172,49.98178649975478,16.83783694303526,-11.009142537642457
Абрау-Дюрсо,45101.0,7.47,98.0,191.0,26.8,13.9,17.9,13.8,10.670391061452515,1.9420289855072463,0.04150928082143936,21.75282129515539,31.627654623770695,76.30278209292473,49.95849071917856,16.829916500093624,6.092389673905025
HeadHunter,45192.0,7.57,50.3,1211.0,84.5,88.7,119.5,18.1,10.133891213389122,4.668508287292817,0.13481037605210466,52.29233304255112,31.27605977663875,81.58452196017511,49.8651896239479,16.79819461815244,-18.7820654771672
Россети Северный Кавказ,23.0,13.4,1828.0,11.8,31.4,-2.7,0.37,41.3,31.891891891891895,0.7602905569007264,224.6916666666667,8.516075063800308,45.535152207082724,75.13063126677024,154.6916666666667,52.43864579226274,-31.359241796375528
РБК,45129.0,20.5,365.6,3.73,1.44,5.8,-0.4,0.0,-9.325,0.0,0.003023128678630413,0.0,18.523687327279905,75.73082897895777,49.99697687132137,16.84300158951971,40.364140062158164
Русолово,45097.0,5.34,3000.0,7.37,2.18,-10.4,-0.22,6.0,-33.5,0.36333333333333334,0.04903345762830643,4.069725596041385,2.680615870509277,74.58692275102386,49.950966542371695,16.827358319530127,51.009222964943085
Бурятзолото,45066.0,0.03,7.03,1097.0,8.43,14.2,384.2,6.37,2.8552837064029153,1.3233908948194661,0.017112490866167975,14.823406784077688,26.50602880087992,76.32396554159018,49.98288750913383,16.83821128043668,18.156318676195895
Магаданэнерго,45064.0,4.72,463.8,4.68,3.33,-73.6,-5.52,11.9,-0.8478260869565217,0.27983193277310925,0.004817174175885633,3.1344197598067565,24.079198063818467,70.1242762321706,49.995182825824116,16.842391623481042,26.06826678506433
МКФ Красный Октябрь,45154.0,0.0,9.22,504.5,17.4,5.4,61.8,18.2,8.163430420711974,0.956043956043956,0.010301390795942774,10.708724473906658,29.984719501927316,75.70258438073719,49.989698609204055,16.84052701865801,18.168613386245212
Таттелеком,45184.0,0.0,20844.0,0.51,15.3,23.5,0.13,10.3,3.923076923076923,1.4854368932038835,0.0235270007082153,16.638496914429464,27.205806432020406,76.9806524502189,49.976472999291786,16.83603038080826,16.30031872296076
Курганская ГК,45183.0,1.6,122.5,33.4,6.38,4.4,2.47,7.56,13.52226720647773,0.843915343915344,0.009055717618311959,9.45276296153489,33.49662991028545,75.63197288518572,49.99094428238169,16.84095054099052,15.841629472374862
ТГК-14,45029.0,1.72,1357946.0,0.003,12.8,12.8,0.0,14.4,0.0,0.888888888888889,0.009047488544722222,9.956515219673113,24.634820371101462,76.22510944781811,49.990952511455276,16.840953338832286,24.792820518211258
ТНС энерго Кубань,45150.0,2.76,17.9,151.0,4.74,19.7,25.7,71.3,5.875486381322958,0.0664796633941094,0.005986855453400917,0.7446440029299704,28.485316775758434,76.7123287671233,49.9940131445466,16.841993937995117,30.64037405043977
Ижсталь,45119.0,6.93,0.801,2544.0,4.89,-73.1,3197.0,28.0,0.7957460118861432,0.17464285714285713,0.004517070486900735,1.956188548293811,25.15631203305606,70.15958197994634,49.9954829295131,16.8424936571578,26.20458774143867
НКХП,45058.0,0.36,67.6,288.5,26.3,17.5,29.0,4.96,9.948275862068966,5.30241935483871,0.04328366953972733,59.39282138348352,31.154416869733314,76.55698347691005,49.956716330460274,16.82931321725648,-30.81956799356327
Вуш Холдинг | WHOOSH,45027.0,5.61,111.4,163.5,23.9,17.0,7.45,6.96,21.946308724832214,3.4339080459770113,0.0404561031989461,38.463477438069084,39.01732036447749,76.52167772913431,49.95954389680105,16.830274574949243,-17.789394648361508
Globaltruck,45148.0,2.31,58.5,50.7,4.53,1.9,1.71,15.4,29.649122807017545,0.29415584415584417,0.006569730133707116,3.294863031705137,44.06535485971146,75.45544414630703,49.993430269866295,16.841795763667694,11.25343049122274
АСКО,9.78,0.0,526.0,5.84,3.07,5.2,0.18,11.4,32.44444444444444,0.2692982456140351,31.409406952965234,3.016431091223335,45.89726718427863,75.6884620816269,18.590593047034766,6.1649961769300745,20.60976762919485
Нефтекамский автозавод (Нефаз),9.35,1.73,8.04,614.2,3.17,35.5,68.9,33.1,8.914368650217707,0.0957703927492447,64.80535433070867,1.0727317946271673,30.47684641111781,77.82799039683661,5.194645669291333,1.610444484299493,44.66796770679214
ТНС энерго Ростов-на-Дону,45025.0,1.55,8129.0,0.596,12.7,44.8,0.06,58.0,9.933333333333334,0.2189655172413793,0.010760801315758788,2.452650193122062,31.14462429267009,78.48467730546533,49.98923919868424,16.840370821496162,28.047031998177008
